Date,Annualized weekly resignation ratio for 2020,Annualized weekly resignation ratio for 2019,Resignation Change Percentage (between 2020 and 2019)
04-Jan,1.132959312,1.230736254,-7.9445894
11-Jan,19.5694325,16.2170153,20.6722207
18-Jan,18.64548102,17.75152979,5.03591096
25-Jan,18.26428965,14.3199083,27.5447389
01-Feb,18.39162528,17.83158958,3.14069423
08-Feb,16.83309844,14.75784696,14.0620206
15-Feb,15.71086535,15.08501255,4.14883843
22-Feb,18.17004854,14.19179135,28.0321004
29-Feb,19.95738349,19.92325677,0.17129086
07-Mar,19.01046875,16.56715255,14.747955
14-Mar,18.45912582,15.0268656,22.8408259
21-Mar,14.92032737,15.23200553,-2.0462057
28-Mar,11.1526395,16.20786218,-31.189941
04-Apr,12.26976519,22.48247335,-45.425199
11-Apr,7.199252946,16.30173782,-55.837512
18-Apr,7.152673572,16.07210885,-55.496359
25-Apr,6.852632958,15.50391603,-55.800632
02-May,11.29784691,23.50591484,-51.936153
09-May,7.345885329,30.00143914,-75.51489
