Date,Annualized weekly resignation ratio for 2020,Annualized weekly resignation ratio for 2019,Annualized weekly resignation ratio for 2018,Annualized weekly resignation ratio for 2017
04-Jan,1.132959312,1.230736254,1.005559929,0.831584999
11-Jan,19.5694325,16.2170153,11.93061036,8.524392462
18-Jan,18.64548102,17.75152979,11.44870101,10.20575449
25-Jan,18.26428965,14.3199083,10.35906315,7.826248032
01-Feb,18.39162528,17.83158958,18.88149712,13.06924948
08-Feb,16.83309844,14.75784696,11.41678658,7.1249942
15-Feb,15.71086535,15.08501255,11.60929436,11.75694354
22-Feb,18.17004854,14.19179135,10.66723017,11.54289455
29-Feb,19.95738349,19.92325677,18.96620098,15.68299514
07-Mar,19.01046875,16.56715255,13.17326011,11.32707691
14-Mar,18.45912582,15.0268656,12.21565717,10.87473317
21-Mar,14.92032737,15.23200553,10.96682836,10.23235565
28-Mar,11.1526395,16.20786218,11.25696586,10.20983063
04-Apr,12.26976519,22.48247335,16.44759514,11.63934141
11-Apr,7.199252946,16.30173782,12.57786991,11.21754036
18-Apr,7.152673572,16.07210885,12.2304282,11.31354476
25-Apr,6.852632958,15.50391603,11.96488471,11.64614227
02-May,11.29784691,23.50591484,20.93501237,17.23850301
09-May,7.345885329,30.00143914,14.12642247,12.53700184
