High Tech's Involuntary Turnover Annualized Weekly ratio for 2020,High Tech's Involuntary Turnover Annualized Weekly ratio for 2019,High Tech's Involuntary Turnover Annualized Weekly ratio for 2018,High Tech's Involuntary Turnover Annualized Weekly ratio for 2017,Time
0.64532142,0.38969555,0.981521619,0.396442186,04-Jan
10.89444466,4.00693508,2.934708573,3.028162906,11-Jan
31.21758901,3.200935161,5.839245494,3.000171859,18-Jan
6.270866599,16.45446618,2.464183009,1.900191237,25-Jan
32.16107233,16.27833121,11.8199371,10.76901329,01-Feb
12.71626826,12.8787142,6.012492652,5.036978379,08-Feb
23.96646832,9.188349515,7.290630209,4.787162473,15-Feb
14.89606684,9.444401355,5.209780944,3.755496237,22-Feb
14.83520464,18.50366496,11.17490566,20.30370365,29-Feb
14.82625998,11.71632396,7.323375885,7.099379942,07-Mar
11.46653188,9.444923933,6.219653329,4.059732001,14-Mar
10.71790695,11.50220553,4.603970634,4.06056777,21-Mar
11.07051577,9.278979158,5.389919331,3.393942834,28-Mar
41.57245861,14.71528125,12.25773535,8.719299976,04-Apr
16.29306178,12.79455223,5.542277631,4.357654416,11-Apr
9.406707563,10.97405305,5.869907372,6.333204266,18-Apr
27.84807859,9.014264696,5.3417064,4.172238566,25-Apr
21.23586971,12.59007513,13.0091602,8.382904731,02-May
34.02119236,9.986788258,6.645410304,4.534235305,09-May
