Others' Involuntary Turnover Annualized Weekly ratio for 2020,Others' Involuntary Turnover Annualized Weekly ratio for 2019,Others' Involuntary Turnover Annualized Weekly ratio for 2018,Others' Involuntary Turnover Annualized Weekly ratio for 2017,Time
1.96943019,2.914575425,0.690244718,1.581022661,04-Jan
4.591456429,3.354358983,3.371690503,1.714067614,11-Jan
3.711949522,4.095983738,1.883231206,1.215893214,18-Jan
3.177429774,3.36594142,2.277632655,1.439595806,25-Jan
15.62982931,16.59431331,13.56168434,12.64559442,01-Feb
8.822155968,3.404924044,2.757732707,2.864313276,08-Feb
5.023253246,3.101952278,2.207177281,1.445389382,15-Feb
3.531789418,2.554402261,1.793282824,1.984521184,22-Feb
31.66258046,24.84824576,14.31537945,12.91123526,29-Feb
5.975381739,3.381262172,2.422347498,1.635165033,07-Mar
3.542884475,3.379538627,2.993061396,1.619269645,14-Mar
4.690762694,2.980483564,2.527236092,1.632437978,21-Mar
3.744939271,3.543463793,2.102333885,2.126533207,28-Mar
14.99917945,8.144917386,6.107286484,4.303488519,04-Apr
1.935152399,2.944807137,2.247679624,1.981951684,11-Apr
2.440982281,4.233935092,2.872213714,2.450463389,18-Apr
2.784807317,4.162484276,2.27071267,1.602604513,25-Apr
11.59767334,26.48851636,16.020093,4.799464225,02-May
1.796387102,3.751219528,2.509554306,1.885726334,09-May
