Involuntary Turnover Change Percentage for HT,Involuntary Turnover Change Percentage for Others,Time
65.59630181,-32.42823045,04-Jan
171.8897223,36.88029377,11-Jan
875.2646476,-9.37587257,18-Jan
-61.88957739,-5.600562298,25-Jan
97.56983641,-5.812135685,01-Feb
-1.261352153,159.0999345,08-Feb
160.8354012,61.93844382,15-Feb
57.72378024,38.26285201,22-Feb
-19.82558768,27.42380596,01-Mar
26.54361577,76.72045037,08-Mar
21.40417393,4.833377174,15-Mar
-6.818679953,57.38260565,22-Mar
19.30747533,5.685834253,29-Mar
182.5121579,84.15385615,05-Apr
27.34374357,-34.28593762,12-Apr
-14.28228457,-42.34719643,19-Apr
208.9334464,-33.0974694,26-Apr
68.67150909,-56.21622148,03-May
240.6619974,-52.11191751,10-May
