Others' External Hire Annualized Weekly ratio for 2020,Others' External Hire Annualized Weekly ratio for 2019,Others' External Hire Annualized Weekly ratio for 2018,Others' External Hire Annualized Weekly ratio for 2017,Time
21.80980298,44.49948654,39.69575395,28.76357172,04-Jan
37.40702618,36.24764413,36.82760141,30.26865924,11-Jan
31.95413571,23.39997008,23.19184602,25.53747113,18-Jan
19.79484979,22.24735383,21.57202121,17.56733952,25-Jan
32.24508544,39.18760236,39.07732897,34.84129536,01-Feb
24.80826855,21.83203041,24.39719776,19.86749378,08-Feb
26.6915539,25.35499227,21.85573676,20.38885015,15-Feb
26.3084852,20.50498503,23.24220475,17.48156985,22-Feb
53.00975024,40.52358478,40.79803445,35.96939686,29-Feb
27.68322197,24.05347272,23.03371642,22.15285979,07-Mar
22.57221815,22.57473035,25.47965859,21.39258645,14-Mar
21.1514982,22.52338967,21.64198375,21.18661359,21-Mar
21.19302812,22.26534824,19.08694293,18.93142617,28-Mar
35.74558736,54.00611291,28.82008206,25.00648105,04-Apr
21.27937465,22.96538803,25.85278711,20.43599024,11-Apr
19.80634207,23.07742598,24.55902553,21.52186736,18-Apr
17.8784267,25.80159532,22.07757672,21.18966086,25-Apr
29.4403493,45.42350174,46.1146197,48.78102729,02-May
17.92077058,27.5534588,24.6890506,18.09703614,09-May
