External Hire Change Percentage for HT,External Hire Change Percentage for Others,Time
-39.22709863,-50.98864128,04-Jan
16.86592883,3.198503178,11-Jan
47.9083777,36.55631012,18-Jan
17.03537468,-11.02380113,25-Jan
9.977571345,-17.71610535,01-Feb
33.33048466,13.63243863,08-Feb
-10.9334917,5.271394354,15-Feb
4.950395351,28.30287446,22-Feb
-8.608195337,30.81209506,01-Mar
38.41252718,15.0903335,08-Mar
13.90871272,-0.011128386,15-Mar
4.927515744,-6.090963641,22-Mar
-16.79734626,-4.816094076,29-Mar
-13.62483071,-33.81196047,05-Apr
19.2983229,-7.341541007,12-Apr
34.43986078,-14.17438806,19-Apr
31.95328699,-30.70805709,26-Apr
0.157165121,-35.18696672,03-May
26.26803294,-34.95999646,10-May
