External Hires Change Percentage for 40 - 55,External Hires Change Percentage for 55 - 76,External Hires Change Percentage for 25 - 40,External Hires Change Percentage for 18 - 25,Time
-16.39794034,-29.05810802,-16.89881909,12.36300643,11-Jan
-7.535951483,-6.379957553,-24.17605538,15.05734446,18-Jan
-30.33785223,-45.85160841,-34.62515371,-12.3514494,25-Jan
-24.32780997,-48.10943274,11.68235972,-16.7414306,01-Feb
-27.51271557,-18.8955258,-6.095345231,-5.412652304,08-Feb
-28.58890296,-34.77469133,-21.0124342,-8.617933063,15-Feb
-19.35310353,-47.36138249,-19.44558586,-5.234426311,22-Feb
-31.27120998,-29.75463075,69.46654729,-21.0002525,01-Mar
-21.63507434,-14.67296685,-11.82917553,4.249231877,08-Mar
-28.01816349,-33.45555382,-27.83835067,-0.56940023,15-Mar
-25.2076115,-43.17518646,-29.71109842,-35.20030739,22-Mar
-41.52249013,-48.60777171,-36.92004816,-49.41873633,29-Mar
-27.41385873,-48.21752221,1.120001463,-60.40714093,05-Apr
-39.45390093,-63.08940311,-38.16065528,-54.93720688,12-Apr
-45.55744037,-53.16438128,-41.57557584,-56.06547194,19-Apr
-51.02412563,-63.49057708,-46.82782779,-70.93770472,26-Apr
-55.23520716,-63.26780498,-20.80902741,-69.06153432,03-May
-42.25638171,-64.2749737,-49.94835971,-66.50257414,10-May
-60.17904646,-62.52001383,-55.12707889,-67.89268613,17-May
-59.59238415,-53.9768551,-52.53307083,-52.65592169,24-May
-56.73552674,-58.22662988,-52.27796198,-35.0430296,31-May
-52.93655235,-58.27612388,-50.36746463,-26.64228508,07-Jun
-56.60294601,-52.25727311,-54.25120556,-0.162164048,14-Jun
