Date,Resignation Change Percentage (between 2020 and 2019),Annualized weekly resignation ratio for 2019,Annualized weekly resignation ratio for 2020
11-Jan,-2.056701791,20.42669767,20.00658141
18-Jan,-8.990372954,20.81530295,18.94392958
25-Jan,7.048314637,17.29495376,18.51395652
01-Feb,-10.31754343,20.69438232,18.55923044
08-Feb,-5.937272356,17.8616659,16.80117014
15-Feb,-12.23453919,17.87156853,15.68506447
22-Feb,7.843943817,17.19119908,18.53966708
01-Mar,-10.08860862,21.55854182,19.38358491
08-Mar,-1.160919164,19.25560473,19.03206273
15-Mar,3.126779921,18.04891637,18.61326627
22-Mar,-17.89118984,18.59740751,15.27011003
29-Mar,-43.00598727,19.76024276,11.26215527
05-Apr,-49.7427929,25.23692977,12.68337606
12-Apr,-60.8164656,20.30176801,7.954950251
19-Apr,-58.67884139,19.72375192,8.150082815
26-Apr,-60.14269924,19.39735955,7.731263935
03-May,-65.44591637,27.40414659,9.469251729
10-May,-59.19462756,22.30062809,9.099854352
17-May,-48.52170838,23.49962675,12.09720639
24-May,-43.7354804,21.99761941,12.37685489
31-May,-46.43973035,22.7756612,12.19870555
07-Jun,-32.40240874,24.44259895,16.52260813
14-Jun,-34.14223921,21.83970128,14.38313822
