Female's Resignation Annualized Weekly ratio for 2020,Female's Resignation Annualized Weekly ratio for 2019,Female's Resignation Annualized Weekly ratio for 2018,Female's Resignation Annualized Weekly ratio for 2017,Time
22.77805101,23.29516399,16.40298,9.363149423,11-Jan
21.56670335,21.06707923,16.13280355,10.60877309,18-Jan
21.52918602,18.97481823,14.82911285,8.360318462,25-Jan
20.60861535,22.86163634,22.99343705,18.40444053,01-Feb
19.89020233,21.84895282,16.21496484,9.709755618,08-Feb
18.34339182,20.69131561,16.7146421,10.53579469,15-Feb
22.40334995,19.74407059,15.0161483,8.611207654,22-Feb
21.74534039,24.65602351,23.60058874,19.52201011,29-Feb
22.21227154,21.80275463,17.90030259,12.02590194,07-Mar
18.78575318,21.66494995,16.27906494,11.0870943,14-Mar
17.07288988,22.33443016,16.08521949,10.32330635,21-Mar
10.5487821,23.74835483,17.26254577,11.37946213,28-Mar
12.07534587,27.62497861,20.31448913,13.74077871,04-Apr
7.571913388,24.60424491,17.20815035,11.57035202,11-Apr
8.570289583,24.43509243,16.86197673,11.47898052,18-Apr
7.158637135,23.00287125,17.05967226,11.51455675,25-Apr
8.835589942,31.09123199,27.44526277,18.3954268,02-May
8.993700956,26.2117961,22.06095428,11.75402921,09-May
11.64357049,27.31078102,18.44240445,11.88130434,16-May
12.13687325,26.26340045,18.31457964,11.07128068,23-May
11.03567322,27.37146332,22.03128991,17.38317523,30-May
15.11561831,29.11621506,18.00670573,12.09911384,06-Jun
13.75349767,26.03569546,16.31501187,11.0390096,13-Jun
