Male's Resignation Annualized Weekly ratio for 2020,Male's Resignation Annualized Weekly ratio for 2019,Male's Resignation Annualized Weekly ratio for 2018,Male's Resignation Annualized Weekly ratio for 2017,Time
18.28661086,18.2890514,12.10260987,5.987061718,11-Jan
17.70511315,15.78606972,11.89775526,6.401448551,18-Jan
16.65117974,15.60811456,10.87628265,6.101500251,25-Jan
17.75521449,18.07045741,15.46937081,10.16641022,01-Feb
14.59937353,14.41358284,10.7969227,6.100837519,08-Feb
14.41949501,15.43617059,11.68595568,6.759951149,15-Feb
16.73888503,14.56971314,10.25878072,6.346000639,22-Feb
16.5198482,18.65084448,16.26663415,11.91943038,29-Feb
17.56107654,17.02169448,12.07902254,7.185683907,07-Mar
15.45912494,15.02103817,11.52901975,7.008856981,14-Mar
14.39835887,14.99477193,11.00265867,7.277025333,21-Mar
9.989422107,16.22177821,11.05052815,6.605157564,28-Mar
12.52680106,22.42471597,16.19749925,8.706917299,04-Apr
7.484843679,16.28993759,13.05585803,6.85452186,11-Apr
7.648571146,15.5434552,12.5755628,7.677093328,18-Apr
7.770088371,16.33460506,12.24642877,7.608893073,25-Apr
9.689193564,24.23856521,20.0248138,12.89237467,02-May
9.046920024,19.50755051,15.13599552,8.210933214,09-May
11.37897782,19.85945831,13.7466863,8.237175796,16-May
12.18701792,18.3745583,11.94266785,7.583369302,23-May
12.58874032,18.29207244,14.86718254,9.049377148,30-May
17.8613858,20.09131434,13.16747773,7.851516505,06-Jun
15.59227146,18.41883936,12.29467634,6.972488226,13-Jun
