Resignation Change Percentage for Male,Resignation Change Percentage for Female,Time
-0.013344281,-2.219829741,11-Jan
12.15656251,2.37158706,18-Jan
6.682839056,13.46188277,25-Jan
-1.744520949,-9.855029465,01-Feb
1.28899721,-8.9649628,08-Feb
-6.586319933,-11.34738762,15-Feb
14.88822645,13.46874921,22-Feb
-11.42573617,-11.80516039,01-Mar
3.168791845,1.878280608,08-Mar
2.916487902,-13.28965346,15-Mar
-3.977473342,-23.55797862,22-Mar
-38.41968509,-55.58099846,29-Mar
-44.13841821,-56.28830688,05-Apr
-54.05234896,-69.2251747,12-Apr
-50.79233641,-64.92630586,19-Apr
-52.43173408,-68.87937572,26-Apr
-60.02571324,-71.581731,03-May
-53.62349559,-65.68834534,10-May
-42.70247637,-57.36639505,17-May
-33.67449864,-53.78788333,24-May
-31.17925615,-59.6818296,31-May
-11.09896792,-48.08522236,07-Jun
-15.34606956,-47.17445636,14-Jun
