40-55's Resignation Annualized Weekly ratio for 2020,40-55's Resignation Annualized Weekly ratio for 2019,40-55's Resignation Annualized Weekly ratio for 2018,40-55's Resignation Annualized Weekly ratio for 2017,Time
9.644573245,10.71129264,7.641598597,3.790158754,11-Jan
9.316417062,9.857493206,7.608995687,4.442693525,18-Jan
7.787753757,9.495443747,6.518245682,3.799167865,25-Jan
9.255536241,12.21378176,9.996875232,6.853891528,01-Feb
9.790398275,10.64828806,8.070115633,3.812467348,08-Feb
8.998610835,10.50424526,7.811276843,4.817393901,15-Feb
11.31754744,10.09223402,7.495671041,4.268057165,22-Feb
10.35671635,13.87044094,11.66771357,8.522514846,29-Feb
10.6853695,11.435218,8.841561015,4.890435437,07-Mar
9.781340529,10.17533983,8.191670112,5.373544739,14-Mar
7.806908494,10.64253657,8.044559307,5.029126127,21-Mar
5.423674834,11.30460435,8.322758579,4.630143361,28-Mar
7.52781655,15.91304308,11.61306288,6.231525126,04-Apr
4.993584686,12.0454019,8.220674175,5.468292423,11-Apr
5.631671783,11.94517712,8.860286135,4.93481153,18-Apr
5.129837067,11.63010144,8.291785983,5.1645923,25-Apr
5.605209042,16.50988325,12.24518102,8.281650652,02-May
5.066734541,12.41140223,9.350288878,4.982853695,09-May
5.480694274,13.40382564,9.162525608,5.261555544,16-May
5.307645689,12.15747517,8.849327882,4.634272869,23-May
5.858376956,13.85653196,10.13562646,7.183797559,30-May
7.310031274,13.69572634,8.885856357,5.893003387,06-Jun
4.42214474,12.01819836,7.35213259,4.256166353,13-Jun
