Resignation Change Percentage for 40 - 55,Resignation Change Percentage for 55 - 76,Resignation Change Percentage for 25 - 40,Resignation Change Percentage for 18 - 25,Time
-9.958829739,-28.42481322,-3.503560643,18.9686858,11-Jan
-5.488983181,-24.33073982,-3.438882118,33.82820645,18-Jan
-17.98430948,-22.44167305,6.267889532,39.81098484,25-Jan
-24.22055325,2.190987314,-16.9494791,20.03406401,01-Feb
-8.056598172,-18.73187106,-12.78644744,17.96567408,08-Feb
-14.33358022,-21.32498205,-13.687681,-1.763627335,15-Feb
12.14115146,-19.48513491,13.10930019,19.81457246,22-Feb
-25.33246491,-23.33285553,-17.82525876,10.41468499,01-Mar
-6.557360764,-16.07320118,-0.836861559,11.07071439,08-Mar
-3.872099664,-32.60339379,-6.898866295,5.502823974,15-Mar
-26.64428779,-34.20803594,-18.74277391,-4.61648929,22-Mar
-52.02242675,-63.10567587,-49.74008758,-59.40213878,29-Mar
-52.69404783,-61.41895826,-44.43012833,-60.47392405,05-Apr
-58.54364406,-72.67965205,-58.065482,-68.95866067,12-Apr
-52.85401191,-65.56319793,-56.16944918,-70.01105943,19-Apr
-55.8917255,-59.09675841,-56.62416378,-73.40500985,26-Apr
-66.04937202,-74.18780567,-56.71072626,-80.99022411,03-May
-59.17677593,-57.36866665,-60.22559294,-64.16373526,10-May
-59.11097011,-66.68808106,-51.17683528,-42.50656398,17-May
-56.34253317,-58.29471081,-52.84850969,-28.02636503,24-May
-57.72118903,-62.37285004,-47.35270105,-35.16728632,31-May
-46.62545752,-57.61410867,-40.43226146,-4.404473534,07-Jun
-63.20459517,-50.77698812,-49.76300085,11.33261048,14-Jun
