25-40's External Hires Annualized Weekly ratio for 2020,25-40's External Hires Annualized Weekly ratio for 2019,25-40's External Hires Annualized Weekly ratio for 2018,25-40's External Hires Annualized Weekly ratio for 2017,Time
34.4488618,41.45411825,39.04425801,33.52116093,11-Jan
25.44692486,33.56053946,29.77236993,23.24519271,18-Jan
19.27676452,29.48651601,31.49356714,22.87017786,25-Jan
36.30665399,32.50885286,49.62559699,26.60355349,01-Feb
27.00978307,28.76298639,33.04143057,22.83779136,08-Feb
26.21524093,33.18907306,29.70755932,23.40014736,15-Feb
27.03000208,33.55496079,33.19880621,22.71076651,22-Feb
60.96818991,35.97653394,55.96244025,30.16419998,29-Feb
28.79936146,32.66314185,38.34243386,25.37080018,07-Mar
23.06028954,31.95643358,35.35850598,23.95495649,14-Mar
22.34113603,31.78472779,36.08429533,25.52720049,21-Mar
20.52336783,32.5354843,31.1207437,22.6727449,28-Mar
41.91092749,41.44672358,37.35191089,29.35278653,04-Apr
19.95249406,32.26504768,34.6126073,24.20292769,11-Apr
19.63449948,33.60666325,35.08669465,25.49996018,18-Apr
17.82380397,33.520925,31.70598193,23.92631941,25-Apr
28.61940299,36.13972913,51.74725367,32.26291793,02-May
19.24544058,38.45116856,32.04083813,24.58866961,09-May
15.98092798,35.61374562,34.90148683,28.48770037,16-May
16.55031889,34.86705202,32.1969665,23.99049971,23-May
15.33942343,32.14326979,49.74518662,23.86404853,30-May
21.13961193,42.59224674,37.1235589,31.99565137,06-Jun
16.17914666,35.36518689,31.17050847,25.4171088,13-Jun
