Resignation Change Percentage for 55 - 76,Resignation Change Percentage for 18 - 25,Resignation Change Percentage for 40 - 55,Resignation Change Percentage for 25 - 40,Time
-75.30805295,3.316456799,35.51907097,-39.01151956,04-Jan
-41.91577739,37.62133406,-6.074849515,-0.830623727,11-Jan
-33.25816269,68.78867337,0.582277946,2.689583126,18-Jan
-47.8310512,56.80172276,-22.30955888,10.15661958,25-Jan
11.13031806,4.2708517,-33.51254961,-25.92420769,01-Feb
-37.80546765,32.96126022,-5.693407113,-5.967996732,08-Feb
-32.62106938,-3.724675311,-13.93505218,-16.30803411,15-Feb
-25.31105058,32.24834171,-11.76008173,20.24112389,22-Feb
-43.64610287,-8.767700692,-28.41692832,-27.35799531,01-Mar
-25.48026993,5.815114834,-10.57570704,-3.098530429,08-Mar
-44.31607363,22.35076947,6.176840017,-1.757905875,15-Mar
-32.01419792,20.23110727,-18.03241501,-7.033698715,22-Mar
-62.9952222,-52.71617634,-37.49262936,-41.55183628,29-Mar
-54.77737419,-54.03169286,-37.97838395,-37.68631265,05-Apr
-66.38736292,-57.39192851,-46.31240622,-51.69894163,12-Apr
-53.49162587,-67.77792167,-54.96516905,-48.03952117,19-Apr
-32.49974689,-67.62015732,-37.22281288,-46.18426202,26-Apr
-64.05148928,-74.74160281,-56.43548501,-56.41063742,03-May
-37.06638463,-47.86225299,-44.95698306,-53.25165585,10-May
-54.30873123,-14.02218014,-45.21384798,-38.99062055,17-May
-51.05422832,2.095368693,-43.3337628,-51.286549,24-May
-58.70579762,-29.77234959,-51.40507785,-49.92612356,31-May
-52.32112745,61.62186584,-28.62307029,-27.40397497,07-Jun
-54.34730494,50.85613116,-35.69801681,-34.50019081,14-Jun
-60.15192919,7.157199087,-31.18218849,-40.60161842,21-Jun
-60.51793427,41.48026153,-49.78668771,-33.84490332,28-Jun
-56.62669204,5.905597379,-37.96630132,-43.34120235,05-Jul
-70.11747461,-25.43471738,-54.17089904,-55.52185506,12-Jul
