55-76's External Hires Annualized Weekly ratio for 2020,55-76's External Hires Annualized Weekly ratio for 2019,55-76's External Hires Annualized Weekly ratio for 2018,55-76's External Hires Annualized Weekly ratio for 2017,Time
6.674778376,12.09907431,12.82009536,11.48106366,04-Jan
11.53224406,15.86952171,15.11346726,10.59809079,11-Jan
8.813088852,11.24767132,11.12170173,5.218459326,18-Jan
6.240915334,11.11083344,10.74916675,7.862746272,25-Jan
7.477033684,14.92716925,10.93325279,8.848685684,01-Feb
8.595728797,9.774926061,11.01169352,7.378861206,08-Feb
8.381064017,12.17646101,10.2803847,5.981207893,15-Feb
6.991014975,12.48265256,11.54132193,8.152660813,22-Feb
9.801683171,12.95459382,10.60867751,8.755904573,29-Feb
10.69107309,11.7252092,11.02882375,7.455599408,07-Mar
7.925568573,11.64781259,10.05558129,8.087465353,14-Mar
6.906535974,12.22443136,11.30944806,8.441427931,21-Mar
6.755126659,12.0042926,9.484559885,7.697764071,28-Mar
7.690667804,13.98041741,10.92121814,8.142130721,04-Apr
4.776357827,11.43442572,11.33511718,6.928392154,11-Apr
5.595483228,12.1298306,9.525126149,6.27552915,18-Apr
4.413968726,11.72717984,8.919895927,6.268739761,25-Apr
4.409640789,13.02186507,14.40774422,8.443124884,02-May
4.412037651,11.07706107,8.137247005,6.74813453,09-May
4.34194831,10.61475461,9.871032317,7.1434084,16-May
4.887023972,10.86256419,8.539176169,6.490184597,23-May
3.78467076,9.361924037,8.409124795,7.911115209,30-May
5.032213591,11.54071543,8.253968254,6.323502247,06-Jun
4.82707405,10.94859592,9.200579057,5.595523581,13-Jun
7.030978072,9.520725389,9.132231405,6.957217113,20-Jun
4.520166898,9.830356699,7.864614962,7.340125199,27-Jun
5.09892944,12.00069859,8.107116654,5.564898334,04-Jul
3.011422638,11.66718604,10.36592352,9.463365398,11-Jul
