Date,Involuntory Turnover Change Percentage (between 2020 and 2019) for High Tech Companies,Annualized weekly involuntary turnover ratio for 2019 for High Tech Companies,Annualized weekly involuntary turnover ratio for 2020 for High Tech Companies
04-Jan,55.08106329,0.48601159,0.753711941
11-Jan,217.5270554,3.997867143,12.69430982
18-Jan,1294.939423,3.225946536,45
25-Jan,-58.35322673,16.41714055,6.837209302
01-Feb,172.8659891,16.64231311,45.41121229
08-Feb,20.32176831,13.11653537,15.7820473
15-Feb,260.3555823,9.602582728,34.60344291
22-Feb,97.96014841,9.958024644,19.71292036
01-Mar,1.667945858,19.56209458,19.88837972
08-Mar,36.72385947,12.42328819,16.98559909
15-Mar,29.95997709,10.05576543,13.06847044
22-Mar,17.5553319,12.24023808,14.3890525
29-Mar,59.34481099,9.655092933,15.38488959
05-Apr,312.8047712,15.34217819,63.33324358
12-Apr,84.10609142,13.16067687,24.22960779
19-Apr,-17.73361596,11.44421839,9.414744653
26-Apr,189.8547605,9.488264079,27.50218512
03-May,60.73887686,13.21772812,21.24602772
10-May,206.103523,10.3933162,31.81430703
17-May,261.7140087,11.5627383,41.82404422
24-May,172.153176,11.28090605,30.70134409
31-May,187.1167084,9.169207657,26.32632721
07-Jun,106.4495517,13.26278123,27.38095238
14-Jun,160.6931542,10.02458742,26.13341313
21-Jun,269.4409666,10.24820864,37.86108107
28-Jun,222.1687194,9.372370222,30.19484513
05-Jul,82.64610776,14.96927294,27.34079438
12-Jul,-40.43050878,10.50767931,6.259371106
