Date,Involuntory Turnover Change Percentage (between 2020 and 2019),Annualized weekly involuntary turnover ratio for 2019,Annualized weekly involuntary turnover ratio for 2020
04-Jan,174.6806043,1.016180103,2.791249648
11-Jan,54.74428386,7.965421332,12.3260342
18-Jan,88.97839307,8.288434086,15.66334955
25-Jan,-23.98436408,10.50482577,7.985310108
01-Feb,102.5678501,11.03534595,22.35406304
08-Feb,47.10294796,8.814159621,12.96588864
15-Feb,58.74118927,7.450202159,11.82653951
22-Feb,27.79016088,6.645398182,8.492165028
01-Mar,67.00573589,16.07403994,26.8445687
08-Mar,27.29393577,8.109199281,10.32251892
15-Mar,-11.59279787,7.775724859,6.874300793
22-Mar,-7.848972434,7.735431522,7.128279634
29-Mar,-9.640475065,7.208064632,6.513172959
05-Apr,125.2019767,11.47089388,25.83267975
12-Apr,-11.71749134,7.957826225,7.025368627
19-Apr,-32.14374454,7.488240135,5.081239355
26-Apr,8.05702604,7.498708889,8.102881817
03-May,1.083484698,12.24464734,12.37731622
10-May,9.716452938,8.266772856,9.07000995
17-May,39.62175493,8.343099058,11.64878132
24-May,35.52337593,7.436559054,10.07827588
31-May,63.58808545,7.573502218,12.38934728
07-Jun,42.36535585,10.95668864,15.59852878
14-Jun,-2.585117893,9.038578034,8.804920136
21-Jun,41.08924806,7.404371336,10.44677184
28-Jun,6.514063466,8.247966186,8.785243938
05-Jul,25.06845077,14.2613085,17.8363976
12-Jul,-60.1266991,7.42920169,2.962267945
