Date,Resignation Change Percentage (between 2020 and 2019),Annualized weekly resignation ratio for 2019,Annualized weekly resignation ratio for 2020
04-Jan,-5.144805286,1.738620645,1.649171999
11-Jan,9.179369122,16.04034105,17.51274316
18-Jan,0.248540988,17.82401104,17.86831102
25-Jan,14.24774199,14.46481861,16.52572865
01-Feb,-18.01019465,20.92838955,17.15914585
08-Feb,-0.383987171,14.78672256,14.72994344
15-Feb,-15.15827687,15.66920116,13.29402026
22-Feb,15.86311377,14.3284939,16.60143919
01-Mar,-20.96831187,21.9970502,17.38464011
08-Mar,-4.527852185,17.01868059,16.24809988
15-Mar,14.44878366,15.52110931,17.76372082
22-Mar,-5.366412077,15.63431756,14.79531565
29-Mar,-27.40054147,16.63926726,12.08001793
05-Apr,-40.24197138,22.86957416,13.66640667
12-Apr,-49.69307934,16.85987663,8.481684758
19-Apr,-46.90804924,16.53270079,8.777533362
26-Apr,-47.0478676,15.74905601,8.339460993
03-May,-61.11909636,28.21487121,10.97019688
10-May,-66.7841815,30.35084883,10.08128286
17-May,-30.49592962,19.74979873,13.72691401
24-May,-30.53313527,18.75370191,13.02760874
31-May,-44.68529246,24.69415139,13.65949762
07-Jun,-7.588914542,20.00023346,18.48243283
14-Jun,-17.1829093,17.9836774,14.89355843
21-Jun,-28.64461373,17.60012772,12.55863912
28-Jun,-23.92690976,18.15292667,13.80949229
05-Jul,-30.72114112,24.1251826,16.71365121
12-Jul,-55.33549876,17.74957441,7.927758884
