Female's Resignation Annualized Weekly ratio for 2020,Female's Resignation Annualized Weekly ratio for 2019,Female's Resignation Annualized Weekly ratio for 2018,Female's Resignation Annualized Weekly ratio for 2017,Time
1.204884963,1.425607745,1.097046414,1.217751064,04-Jan
18.02815365,17.17335243,13.97314419,8.257111886,11-Jan
18.83775369,16.95740458,13.23714001,8.946576858,18-Jan
17.42368715,15.38807683,11.94265771,7.084551514,25-Jan
17.27865704,23.81961271,25.85085262,20.72349159,01-Feb
16.02877567,17.71582488,14.01639248,9.808923712,08-Feb
13.9263759,17.62547233,14.4026803,10.83431738,15-Feb
19.99140587,15.29417707,13.21359947,8.990674867,22-Feb
17.67077799,25.52159636,24.69645154,22.38582481,29-Feb
17.31862436,18.76789551,15.8775203,11.76775654,07-Mar
16.17292959,17.9974081,15.17430474,11.66413508,14-Mar
16.2606822,18.41204097,13.81593364,10.13024772,21-Mar
11.29413483,19.34208997,14.67485411,12.04439637,28-Mar
13.31425201,24.22454288,19.14145298,14.30198724,04-Apr
8.524434459,19.45041556,14.48880598,12.35649636,11-Apr
9.931871456,19.60407099,14.69012529,11.97352304,18-Apr
8.714752152,17.7360346,14.91669366,12.23378289,25-Apr
11.2458907,33.29573687,26.95942646,16.10391449,02-May
10.63239028,20.80917697,18.49825647,11.45968369,09-May
14.422364,22.03406852,15.70482719,11.40478276,16-May
12.98466098,21.39480771,15.86925167,11.87124035,23-May
13.238265,30.54523044,24.12280531,20.4448917,30-May
17.70763529,21.38585244,17.26501369,13.10878471,06-Jun
14.33888773,20.44652447,14.63845891,11.13884664,13-Jun
13.08464797,20.96404916,15.58610541,12.68241128,20-Jun
13.52476317,20.91315368,14.27610261,11.47876336,27-Jun
15.93837115,27.38856433,19.90805486,12.02465087,04-Jul
7.639114064,18.34443009,16.35308355,11.37041191,11-Jul
