Male's Resignation Annualized Weekly ratio for 2020,Male's Resignation Annualized Weekly ratio for 2019,Male's Resignation Annualized Weekly ratio for 2018,Male's Resignation Annualized Weekly ratio for 2017,Time
0.868038567,0.935414862,0.850572501,0.377116509,04-Jan
16.31384288,15.30740746,10.26822651,4.451311962,11-Jan
17.23932335,13.60313491,9.664589813,5.070816703,18-Jan
15.46168466,13.47041994,9.093405402,4.014323407,25-Jan
17.11108419,18.24837435,15.04000464,9.056246775,01-Feb
13.06374387,12.2096695,9.181243328,5.440032101,08-Feb
12.79489218,13.3777749,9.775333569,5.530825291,15-Feb
15.15343182,12.68087629,9.094422757,5.229179192,22-Feb
15.04767675,18.27726105,15.31451434,10.7287928,29-Feb
15.53291581,15.06563294,10.95519734,5.729113814,07-Mar
14.73240818,13.16132788,10.30826772,5.972485408,14-Mar
13.89382346,12.94515123,9.235944698,6.071242095,21-Mar
10.22865132,14.13138623,9.193594682,5.3698376,28-Mar
12.57435434,20.52576236,14.46037242,8.045705652,04-Apr
7.403870363,14.192568,11.55998083,5.8711413,11-Apr
7.626530282,13.79358633,10.75660849,6.700058072,18-Apr
7.545380969,13.53984538,10.09305103,6.035742915,25-Apr
10.18710898,24.75803496,17.70766305,10.13612048,02-May
9.195868053,16.89221221,11.4672708,6.162526083,09-May
11.64426419,17.39570056,11.99154603,6.414489199,16-May
12.06248443,16.45578454,10.07906847,5.896375084,23-May
13.31195658,20.20199854,13.96046903,8.940290906,30-May
18.62978785,18.07149622,11.67222236,6.391512485,06-Jun
15.55132871,15.65081307,10.20323577,5.381654103,13-Jun
11.86032511,14.65912785,9.62916886,5.999691846,20-Jun
14.23212314,15.41400799,10.43035868,5.437544611,27-Jun
16.30391631,20.81829571,13.37776345,6.50481085,04-Jul
7.899044485,15.67423473,10.89832238,6.167312274,11-Jul
