Resignation Change Percentage for Male,Resignation Change Percentage for Female,Time
-7.202824978,-15.48271482,04-Jan
6.574826096,4.977486068,11-Jan
26.73051818,11.08866101,18-Jan
14.78249919,13.2284907,25-Jan
-6.232282018,-27.46037794,01-Feb
6.995065461,-9.522837504,08-Feb
-4.357097653,-20.98721872,15-Feb
19.49830179,30.71253053,22-Feb
-17.66995774,-30.76147065,01-Mar
3.101647794,-7.722075938,08-Mar
11.93709564,-10.13745147,15-Mar
7.328398226,-11.68452087,22-Mar
-27.61749522,-41.60850847,29-Mar
-38.73867327,-45.03817027,05-Apr
-47.83276458,-56.17350986,12-Apr
-44.70959113,-49.3377092,19-Apr
-44.2727686,-50.86414551,26-Apr
-58.85332176,-66.22423243,03-May
-45.56149345,-48.90528207,10-May
-33.0624015,-34.54516135,17-May
-26.69760348,-39.3092887,24-May
-34.10574425,-56.66012398,31-May
3.089349237,-17.19930107,07-Jun
-0.635649779,-29.87127106,14-Jun
-19.09255975,-37.585302,21-Jun
-7.667602427,-35.32891606,28-Jun
-21.68467322,-41.80647458,05-Jul
-49.60491135,-58.3573105,12-Jul
