Male's External Hires Annualized Weekly ratio for 2020,Male's External Hires Annualized Weekly ratio for 2019,Male's External Hires Annualized Weekly ratio for 2018,Male's External Hires Annualized Weekly ratio for 2017,Time
13.83301908,23.49763197,23.72339352,23.05516037,04-Jan
29.40072868,33.64603465,29.55901564,26.40533989,11-Jan
21.55241774,26.70209545,22.42262055,18.13025524,18-Jan
17.26271314,23.09321098,19.36112921,16.47590949,25-Jan
18.51686548,27.28401243,23.00174202,20.9684639,01-Feb
21.81028724,25.62759184,23.7264862,17.34380857,08-Feb
22.03333291,28.22433943,20.57315494,19.06721012,15-Feb
22.05551388,29.11064279,22.92658577,18.95475283,22-Feb
21.88183527,32.17998917,27.43847733,23.68834745,29-Feb
25.39753711,28.58030775,26.02892835,20.07854194,07-Mar
22.49006784,28.04892474,25.42059484,18.68381621,14-Mar
17.90223778,27.99103738,25.35352461,20.12879827,21-Mar
13.48592678,27.78398378,22.48536281,18.12050133,28-Mar
16.99914496,34.17489288,27.81268308,21.2100749,04-Apr
14.23124488,27.32593042,23.27873905,17.91281005,11-Apr
11.29810778,26.54574799,24.33951445,19.82331361,18-Apr
11.85588995,28.9710272,21.60886787,19.1246856,25-Apr
9.499775252,29.97840684,28.47766175,22.41161543,02-May
14.17662661,32.000899,25.61194226,19.35383611,09-May
11.13297072,36.65161711,32.78922009,28.12478191,16-May
18.4954086,37.78942808,33.64661181,25.28434826,23-May
17.79641936,35.02698503,26.14809832,25.86525586,30-May
31.66429825,45.16769807,36.17791941,29.48065466,06-Jun
24.99895559,37.35728618,27.04240086,21.7341713,13-Jun
30.28434968,38.01142884,27.73988085,22.76761602,20-Jun
27.9703582,33.11240078,23.94869929,23.1666476,27-Jun
26.18606327,37.77306065,30.69154258,17.86795859,04-Jul
17.63317499,35.73010983,31.80778376,28.50822353,11-Jul
