External Hires Change Percentage for Female,External Hires Change Percentage for Male,Time
-38.34230308,-41.13015687,04-Jan
-11.6693581,-12.61755215,11-Jan
-28.78122518,-19.28566888,18-Jan
-39.26239612,-25.24767059,25-Jan
-34.50040222,-32.13290925,01-Feb
-13.24609203,-14.89529185,08-Feb
-26.8694752,-21.93499173,15-Feb
-22.83562521,-24.23556553,22-Feb
-29.14678912,-32.00173202,01-Mar
-9.195161121,-11.13623642,08-Mar
-27.45255964,-19.8184314,15-Mar
-29.70463656,-36.04296427,22-Mar
-45.21700385,-51.46150787,29-Mar
-42.38922624,-50.25838114,05-Apr
-52.93012857,-47.92036478,12-Apr
-59.27326168,-57.43910556,19-Apr
-65.70003477,-59.076736,26-Apr
-73.50046912,-68.31127383,03-May
-63.6214389,-55.69928641,10-May
-64.56127863,-69.62488535,17-May
-52.07820424,-51.05665913,24-May
-35.78394435,-49.19226036,31-May
-27.83973743,-29.89614347,07-Jun
-12.05987594,-33.08144635,14-Jun
-14.11804165,-20.32830492,21-Jun
-11.37643194,-15.52905394,28-Jun
-30.82256432,-30.67529392,05-Jul
-62.05715515,-50.64897626,12-Jul
