18-25's Resignation Annualized Weekly ratio for 2020,18-25's Resignation Annualized Weekly ratio for 2019,18-25's Resignation Annualized Weekly ratio for 2018,18-25's Resignation Annualized Weekly ratio for 2017,Time
5.746732213,5.56226219,3.971008858,1.665658255,04-Jan
74.65361417,54.2456696,42.48306682,19.04318008,11-Jan
76.76364774,45.47914632,39.85879242,16.18114407,18-Jan
74.07024793,47.23815952,37.63250131,12.36500545,25-Jan
54.64441796,52.40622577,61.92694077,46.12162074,01-Feb
45.86766941,34.49701766,32.41384252,19.31385006,08-Feb
36.26798454,37.67111111,34.99347137,16.53096312,15-Feb
46.20012351,34.93436886,32.88590604,18.84240836,22-Feb
47.21207934,51.74930337,47.6488668,50.04063851,29-Feb
44.86412341,42.39859635,39.18022905,19.40235001,07-Mar
43.38485929,35.45940862,37.15937953,17.6818702,14-Mar
45.56690379,37.89942954,28.79175907,15.60033914,21-Mar
17.74106662,37.52037218,30.36203746,18.15749111,28-Mar
22.54320248,49.04074977,42.41423488,29.36888422,04-Apr
18.14828769,42.59354403,36.20746237,19.75243958,11-Apr
11.87285946,36.84696976,35.00128892,20.07196598,18-Apr
12.41348874,38.33708786,36.20357318,20.35689818,25-Apr
19.83371004,78.52323286,62.8735067,27.24307226,02-May
26.16522663,50.18480493,48.30256277,21.97975032,09-May
46.06444797,53.57712959,41.15722552,22.27662179,16-May
51.34668647,50.29286551,39.39117114,19.58475756,23-May
50.89705556,72.4743819,56.01005868,48.78533706,30-May
79.98262449,49.48750225,42.94101509,19.37208953,06-Jun
68.65724037,45.51173349,38.34839624,20.56436026,13-Jun
48.53023924,45.28882768,32.72786335,21.28574373,20-Jun
63.68646663,45.01438288,34.51234318,19.15005553,27-Jun
57.92554703,54.69545375,38.55777095,22.65990081,04-Jul
27.8151803,37.30312462,38.19052688,19.62927489,11-Jul
