Date,Turnover Change Percentage (between 2020 and 2019),Annualized weekly turnover ratio for 2019,Annualized weekly turnover ratio for 2020
04-Jan,-12.44716811,5.805064147,5.082498054
11-Jan,24.40207093,24.33438675,30.27248106
18-Jan,37.00602983,23.9631027,32.83089563
25-Jan,0.399436515,25.04607953,25.14612271
01-Feb,5.698090228,38.1626761,40.33721982
08-Feb,-1.505356946,22.32491577,21.9888461
15-Feb,3.897386634,21.78459642,22.63362637
22-Feb,92.15995654,20.63780261,39.65759252
01-Mar,8.012541765,38.73419424,41.83778773
08-Mar,15.16400148,24.53648732,28.25720062
15-Mar,-0.400644665,24.11207245,24.01546872
22-Mar,-3.77143378,22.6279107,21.77451403
29-Mar,-22.84417466,23.65561146,18.25168226
05-Apr,15.09001927,36.66556527,42.19840614
12-Apr,-32.570601,23.07502726,15.5593522
19-Apr,-32.81953823,23.6124788,15.86297229
26-Apr,-34.99894156,24.37007149,15.84080441
03-May,-45.42114428,44.85201931,24.47971891
10-May,-48.66422798,36.56170802,18.76923508
17-May,-3.63844806,26.5198466,25.55493576
24-May,-16.54111769,25.68049771,21.43265636
31-May,-23.81658685,36.38415152,27.71868848
07-Jun,14.43968939,29.49847379,33.75796178
14-Jun,-9.485832498,26.15232302,23.67155746
21-Jun,1.234232488,24.25166855,24.55099052
28-Jun,-7.703534737,26.00981565,24.00614046
05-Jul,-1.657909729,41.29286322,40.60826482
12-Jul,1.24472902,24.83649166,25.14563868
19-Jul,-0.065525668,23.96331612,23.947614
26-Jul,2.239556261,25.06957857,25.63102589
02-Aug,-21.25200087,46.65374703,36.73889231
09-Aug,-3.527921124,35.71522044,34.45521563
16-Aug,2.295446307,32.20810167,32.94742135
23-Aug,-0.795877371,31.39496672,31.14510128
30-Aug,-21.94927015,37.05683471,28.92312995
06-Sep,30.02954371,32.58243924,42.36679708
13-Sep,-21.93219241,25.70585088,20.06799421
20-Sep,-26.81849499,25.42700788,18.60786704
27-Sep,-34.86954753,26.65951103,17.36346016
