Resignation Change Percentage for 40 - 55,Resignation Change Percentage for 18 - 25,Resignation Change Percentage for 55 - 76,Resignation Change Percentage for 25 - 40,Time
-42.51656434,-32.38679384,-36.89931778,-67.52016573,04-Jan
-11.49121071,17.20103771,-39.32062537,-10.16277401,11-Jan
-10.0660732,38.60029264,-40.07864267,-9.121271959,18-Jan
-17.24761074,24.64101455,-33.73438853,-7.675039804,25-Jan
-26.28464786,7.167763907,2.267595577,-30.47726157,01-Feb
-13.15726939,-1.386541032,-51.85994974,-21.85715652,08-Feb
-22.98413934,-22.72182836,-49.76748678,-27.01444469,15-Feb
9.246958207,-3.8435798,-26.08198256,-0.021669433,22-Feb
-37.47256583,-13.10693088,-57.59967695,-38.70810464,01-Mar
-16.63058559,-10.42416108,-41.82088241,-13.60536973,08-Mar
-4.302699571,-11.9577952,-55.19630381,-17.4215155,15-Mar
-21.83575236,0.260470426,-36.28977653,-22.11052825,22-Mar
-32.90372615,-64.68494891,-63.6497444,-51.1173709,29-Mar
-38.42277072,-64.56758086,-63.62002391,-43.33222119,05-Apr
-49.05335788,-49.52803638,-72.18808501,-54.87034785,12-Apr
-39.04779772,-75.42722656,-63.99215844,-48.75293047,19-Apr
-41.50045621,-72.17331036,-37.19753914,-52.40539178,26-Apr
-58.75281664,-71.49865216,-71.78252795,-58.74860142,03-May
-47.95843692,-57.43189307,-41.493091,-59.20511146,10-May
-37.77536266,-23.76470912,-53.62312823,-44.3191595,17-May
-49.49298477,-15.66102228,-61.95592105,-58.86253925,24-May
-53.8608442,-8.251263392,-56.69986876,-47.73804796,31-May
-32.2020645,48.32720376,-55.42947206,-29.73167164,07-Jun
-34.70442931,31.37769381,-47.24671693,-40.54459994,14-Jun
-33.04588585,-10.64505955,-56.49354499,-39.59915912,21-Jun
-44.52700748,17.75217853,-61.07405191,-38.94248133,28-Jun
-43.06920986,-11.52881597,-52.97983346,-34.83412948,05-Jul
-37.37626291,16.67622949,-34.49389205,-33.6828376,12-Jul
-6.020722338,20.37484101,-47.32370108,-26.39908525,19-Jul
-42.15131427,-13.81335169,-51.61486832,-39.42953617,26-Jul
-44.24750677,-19.11543991,-44.07299927,-43.52732795,02-Aug
-33.67101318,50.67775182,-50.13432924,-22.60579499,09-Aug
-37.22155089,9.484278929,-41.58401155,-27.33449908,16-Aug
-33.36687739,4.159185181,-51.50552516,-32.99773267,23-Aug
-45.66145484,-5.636855005,-51.14266735,-29.08990869,30-Aug
-20.17027676,-2.346288883,-36.89828577,-15.85642723,06-Sep
-29.23163805,0.427035308,-49.54234564,-32.1117115,13-Sep
-32.29139292,-19.88413806,-43.54373887,-38.71671843,20-Sep
-46.61425849,-20.55057504,-58.65209385,-42.65848895,27-Sep
