55-76's External Hires Annualized Weekly ratio for 2020,55-76's External Hires Annualized Weekly ratio for 2019,55-76's External Hires Annualized Weekly ratio for 2018,55-76's External Hires Annualized Weekly ratio for 2017,Time
11.2379936,11.15856804,7.827836746,13.82456582,04-Jan
9.150291946,13.03016241,7.188719241,6.264323911,11-Jan
6.649616368,7.987052481,4.950631881,4.427870922,18-Jan
6.228788181,10.17633487,5.027238548,5.952014088,25-Jan
5.660352312,10.49445005,5.598966345,9.468654591,01-Feb
5.45696068,8.778449154,4.959542196,5.909980966,08-Feb
5.17756389,9.785492462,4.877448719,5.549778337,15-Feb
4.621915627,11.5309988,4.792185052,5.616702443,22-Feb
5.66235582,10.10217297,4.862345944,7.803227699,29-Feb
8.356210244,11.01196595,5.420984853,5.82044527,07-Mar
6.12477079,8.545516172,4.938801146,6.661487932,14-Mar
5.640139798,11.20103394,7.240566759,7.250656168,21-Mar
5.429355465,9.321000932,4.608168192,5.887970315,28-Mar
6.674052258,14.24979216,6.267162995,7.11451635,04-Apr
3.934125022,10.50569691,5.787379366,6.68042477,11-Apr
4.352110585,11.18096369,5.934718101,7.169280751,18-Apr
2.2480107,10.05679202,3.559206023,6.310679612,25-Apr
3.864969323,13.09568903,10.27792982,7.658007773,02-May
4.00838461,10.06029215,4.034196355,6.307239424,09-May
4.572077861,11.95878818,6.011103506,6.091896089,16-May
3.09185011,8.761360155,4.50305369,5.798835881,23-May
3.797262942,10.47604438,5.631568511,6.664212579,30-May
4.378471609,10.60369702,4.749147589,5.654863046,06-Jun
4.66234666,9.324978348,5.69273811,5.647263249,13-Jun
6.071632226,9.848484848,5.05659804,5.932847984,20-Jun
4.725349247,10.57394133,5.912495073,6.695762965,27-Jun
5.517091285,9.981417574,3.714285714,5.269914195,04-Jul
6.654323677,11.66918275,6.396646772,7.310083806,11-Jul
4.316820904,10.06509714,4.824921663,6.042100143,18-Jul
6.365441637,9.36650893,4.978118162,6.176022026,25-Jul
5.793399546,10.26329711,8.109843736,8.786895969,01-Aug
6.218489679,11.15607524,5.643016538,6.938619901,08-Aug
6.285310734,8.873089229,5.320058637,6.931352947,15-Aug
7.616774264,10.92558947,5.471430532,7.698158309,22-Aug
5.917656781,11.80955471,5.782971009,7.545327565,29-Aug
8.536296624,10.98269889,5.86952211,6.329969973,05-Sep
5.653331653,11.02379286,5.073789487,9.061436213,12-Sep
8.050820405,14.12348206,7.918018059,12.33323451,19-Sep
7.462745252,14.29848079,4.587072243,7.765475117,26-Sep
