External Hires Change Percentage for 40 - 55,External Hires Change Percentage for 18 - 25,External Hires Change Percentage for 55 - 76,External Hires Change Percentage for 25 - 40,Time
-27.75453257,-49.09212936,0.711789878,-34.87371442,04-Jan
5.295844018,-15.17636816,-29.77607143,-12.55963863,11-Jan
-9.144372637,-23.38044115,-16.74505227,-30.94196012,18-Jan
-27.38212045,-37.56244613,-38.79143857,-29.88163797,25-Jan
-24.74495743,-37.66230343,-46.06337364,-15.01181815,01-Feb
-26.96948476,-53.30075135,-37.83684812,-20.93937347,08-Feb
-22.2109493,-63.51528792,-47.08938861,-32.67765012,15-Feb
-23.09733207,-66.33374839,-59.91747369,-38.91378935,22-Feb
-39.08635872,-69.77930776,-43.94913021,29.68525881,01-Mar
-8.654695787,-3.262894794,-24.1169989,-11.38431021,08-Mar
-34.61425609,-3.451189564,-28.32766721,-23.05306941,15-Mar
-23.40055862,-38.62407398,-49.64625741,-27.72830501,22-Mar
-37.78187388,-70.02451822,-41.75136872,-40.63927742,29-Mar
21.53716282,-67.8126769,-53.16386246,-19.8490791,05-Apr
-41.92192195,-73.12110517,-62.55246029,-44.93833141,12-Apr
-46.91875824,-77.00536312,-61.07571132,-52.08298097,19-Apr
-57.64993924,-82.69818467,-77.6468411,-56.87231936,26-Apr
-65.17976208,-84.94058009,-70.48670509,-51.39286094,03-May
-37.74151815,-78.34659705,-60.15637963,-55.21699154,10-May
-58.36372499,-76.82751237,-61.76805046,-63.52907505,17-May
-61.31672194,-51.7117671,-64.7103868,-54.22330583,24-May
-56.52156821,-36.12106269,-63.75289372,-79.02300194,31-May
-42.90767813,-8.44598457,-58.70806568,-5.506948811,07-Jun
-55.57750098,21.88683237,-50.0015283,-48.42406847,14-Jun
-44.20172481,27.57193093,-38.34958047,-41.06103112,21-Jun
-46.6482973,59.48207085,-55.31137258,-47.4188668,28-Jun
-37.12563168,50.40883834,-44.72637534,-24.58641486,05-Jul
-39.67969652,9.023247209,-42.97523811,-36.87253159,12-Jul
-35.18234163,39.36202547,-57.11098616,-30.66340811,19-Jul
-25.99493684,37.90067857,-32.04040391,-33.58917858,26-Jul
-42.0422576,23.91745023,-43.55225732,-36.6823463,02-Aug
-27.53898923,10.90042012,-44.25916333,-21.92503575,09-Aug
-36.28682988,14.23603585,-29.16434657,-35.55282487,16-Aug
-18.00369265,-2.358611509,-30.28500397,-16.28704838,23-Aug
-38.96690223,-1.542860797,-49.89094062,-47.91110466,30-Aug
-13.53337395,18.97536558,-22.27505546,34.92189218,06-Sep
-27.06874625,-3.689525529,-48.71700034,-29.96529259,13-Sep
-12.79185292,11.78809876,-42.99691556,-18.45922658,20-Sep
-23.47384295,-5.883938192,-47.80742539,-19.24146647,27-Sep
