Date,Involuntory Turnover Change Percentage (between 2020 and 2019) for High Tech Companies,Annualized weekly involuntary turnover ratio for 2019 for High Tech Companies,Annualized weekly involuntary turnover ratio for 2020 for High Tech Companies
04-Jan,36.34059211,0.673527872,0.918291889
11-Jan,155.5461817,5.874915938,15.01312336
18-Jan,856.0692376,5.698966901,54.4860694
25-Jan,-45.89706178,14.98083859,8.105073846
01-Feb,355.4093332,11.84204151,53.92976227
08-Feb,116.425096,8.181122641,17.70600253
15-Feb,524.4881701,6.628942726,41.39696312
22-Feb,249.2383504,6.643726413,23.20244053
01-Mar,149.9826072,9.192758849,22.98029825
08-Mar,120.0161577,8.558335664,18.82972129
15-Mar,141.0246969,6.371179227,15.35611542
22-Mar,99.36579766,8.545099134,17.03600505
29-Mar,145.0465065,7.334234292,17.97228491
05-Apr,533.1629125,12.1110646,76.68276937
12-Apr,296.8987122,7.234364844,28.7131009
19-Apr,25.84238795,8.17447756,10.28695776
26-Apr,346.514165,7.133250098,31.85097211
03-May,115.7693936,11.16417527,24.08887328
10-May,421.2965062,7.305383398,38.08270842
17-May,481.645312,8.694385865,50.57048779
24-May,381.2968873,7.696282104,37.0419662
31-May,319.130852,7.251935012,30.395097
07-Jun,246.1567121,9.257829258,32.04659737
14-Jun,325.3476178,7.483975902,31.83291322
21-Jun,542.0581513,7.048176055,45.25338888
28-Jun,396.9917414,7.252633764,36.04499084
05-Jul,237.341277,9.06517393,30.58057349
12-Jul,351.1330108,7.524404841,33.94507411
19-Jul,-2.015527365,7.121359301,6.977826355
26-Jul,737.1211944,6.452468196,54.01497883
02-Aug,275.955108,9.580088028,36.01683029
09-Aug,15.45080472,31.89059245,36.81794561
16-Aug,260.1505388,8.16082505,29.39125539
23-Aug,251.6290527,9.071207265,31.89700017
30-Aug,253.417914,8.909783092,31.48876954
06-Sep,106.6439914,15.79786267,32.64533397
