Date,Involuntory Turnover Change Percentage (between 2020 and 2019),Annualized weekly involuntary turnover ratio for 2019,Annualized weekly involuntary turnover ratio for 2020
04-Jan,30.77589862,2.153028396,2.815642232
11-Jan,51.73419012,8.251383386,12.52016975
18-Jan,83.91826108,8.873893911,16.32071137
25-Jan,-13.17896464,10.32840718,8.967230049
01-Feb,41.18177089,15.9202921,22.47655032
08-Feb,19.81112327,6.926079521,8.298213673
15-Feb,77.35924931,6.279129966,11.13661777
22-Feb,56.09601349,5.485806907,8.56312589
01-Mar,57.13344565,16.67936184,26.20885597
08-Mar,34.23001624,6.999329084,9.395200567
15-Mar,8.029976057,6.508389721,7.031011857
22-Mar,15.80060625,6.409635392,7.422396642
29-Mar,5.798863703,6.171723765,6.529613614
05-Apr,148.6546024,11.05415347,27.48666136
12-Apr,16.61343493,6.040903988,7.044505641
19-Apr,-22.93340968,6.499719215,5.009111979
26-Apr,18.25894224,6.40666895,7.576458933
03-May,-34.26664068,18.90503466,12.42691436
10-May,33.40359775,6.917644628,9.228386814
17-May,78.52049325,6.924930698,12.36242044
24-May,44.40878778,6.655290102,9.61082376
31-May,-13.00839609,13.51424401,11.75625762
07-Jun,52.21286294,9.095443298,13.84443464
14-Jun,-0.594828,7.881819599,7.834936329
21-Jun,78.90234481,6.069799389,10.85901343
28-Jun,22.92180553,7.110795931,8.740718746
05-Jul,60.31983617,11.14037684,17.86023391
12-Jul,37.06741414,6.337533715,8.686693583
19-Jul,-38.722276,6.385261488,3.912742912
26-Jul,94.4748789,5.990693138,11.65039323
02-Aug,-8.023145994,16.69415121,15.35475508
09-Aug,-31.45246334,14.06206437,9.639198731
16-Aug,15.1662772,8.565483759,9.86454877
23-Aug,32.54430737,7.652295647,10.14268226
30-Aug,-35.57566229,14.32564168,9.229199775
06-Sep,131.4335632,8.916096796,20.63484051
13-Sep,-32.15897652,6.584445866,4.466955466
20-Sep,-35.48964715,6.502190578,4.194586085
27-Sep,-57.31354828,7.807786929,3.332867198
