Date,Resignation Change Percentage (between 2020 and 2019),Annualized weekly resignation ratio for 2019,Annualized weekly resignation ratio for 2020
04-Jan,-30.98497611,2.632510789,1.81682795
11-Jan,1.472251712,16.70570405,16.95165406
18-Jan,6.5064767,16.30160999,17.36227045
25-Jan,3.276928683,15.57961552,16.09014841
01-Feb,-17.22767611,20.32831122,16.8262156
08-Feb,-14.3451456,15.64366527,13.39955871
15-Feb,-26.57729537,16.15250268,11.85960433
22-Feb,-1.748194301,15.34454745,15.07629495
01-Mar,-28.22102386,21.37309724,15.34139037
08-Mar,-12.71666188,17.52366789,15.2952423
15-Mar,-1.831420744,16.88396817,16.57475167
22-Mar,-14.42853994,16.54830035,14.16062223
29-Mar,-35.32344576,17.10440208,11.06253789
05-Apr,-46.11414824,23.90836276,12.88322491
12-Apr,-51.17279022,17.0479608,8.324043583
19-Apr,-50.99113247,16.91417198,8.289444142
26-Apr,-52.17445119,16.86380949,8.065209441
03-May,-61.03079236,24.61944681,9.594003346
10-May,-67.87737056,29.89967433,9.604561588
17-May,-31.54946455,20.14666744,13.79050174
24-May,-38.43301639,19.81249109,12.19795314
31-May,-36.79551513,21.64695598,13.68184702
07-Jun,-10.52733799,20.11708369,17.9992903
14-Jun,-21.43389849,18.95759183,14.89424084
21-Jun,-29.62263663,18.07368135,12.7197804
28-Jun,-26.25038241,19.26783078,14.20995152
05-Jul,-29.0292999,26.02254108,18.46837959
12-Jul,-18.93245183,18.47797718,14.97964305
19-Jul,-9.042419382,17.77930664,16.17162717
26-Jul,-30.72691401,19.10132828,13.23207957
02-Aug,-32.95255539,27.13587467,18.19391054
09-Aug,0.028104783,23.03742512,23.04389974
16-Aug,-13.27238587,24.50041169,21.24862251
23-Aug,-17.54263551,24.25472748,19.99980905
30-Aug,-19.99481661,23.28919607,18.63256403
06-Sep,-8.211309675,22.0815502,20.26836573
13-Sep,-20.19923517,18.7175607,14.9367566
20-Sep,-27.02221873,18.43559676,13.45388948
27-Sep,-27.10656846,18.65279715,13.59666392
