Female's Resignation Annualized Weekly ratio for 2020,Female's Resignation Annualized Weekly ratio for 2019,Female's Resignation Annualized Weekly ratio for 2018,Female's Resignation Annualized Weekly ratio for 2017,Time
1.284567351,2.634200332,1.147810732,1.506521897,04-Jan
16.63036914,18.38900611,5.450224311,7.647696283,11-Jan
17.92939237,19.21230346,5.65481353,8.473908528,18-Jan
16.83465246,17.29111642,5.756892665,6.437183045,25-Jan
15.48909806,24.12811219,12.93868865,14.47197174,01-Feb
13.25593977,18.46624575,6.655157013,7.28363275,08-Feb
10.65388176,18.13331222,6.064685536,7.856993422,15-Feb
16.55143187,17.59527546,5.576128946,6.308262035,22-Feb
13.8372366,25.69745312,13.3219766,13.01657202,29-Feb
14.43639762,19.68785235,5.430502341,8.256646809,07-Mar
13.35948507,19.27175211,5.773705836,7.860170964,14-Mar
14.32308939,20.29868219,5.218073194,7.798042962,21-Mar
8.815873733,19.95636571,6.253446638,7.877603414,28-Mar
11.43702061,26.91722128,9.321893749,9.16981972,04-Apr
7.734592252,19.73793463,5.606079647,7.801349663,11-Apr
8.200716846,19.55281004,6.256486874,7.348901882,18-Apr
7.338685422,19.74353611,5.907880918,8.560719128,25-Apr
8.64823797,27.58386774,13.59234836,16.52542373,02-May
9.546548231,21.36899297,6.001886307,9.055469875,09-May
12.99432404,24.14037296,5.717144851,8.536502238,16-May
11.15605192,23.16281078,6.387283237,7.59992749,23-May
12.52575884,25.98035185,10.70239375,11.99809985,30-May
17.00457816,22.11962863,6.321568627,8.112872793,06-Jun
13.46008696,21.45829761,5.872407648,8.542465631,13-Jun
12.26613242,21.61443347,5.796610169,8.372933276,20-Jun
13.35794751,23.2963876,5.314931155,7.43778565,27-Jun
16.46175366,28.82633525,8.80580975,8.175922084,04-Jul
13.81969403,21.02561717,5.909704904,8.784597527,11-Jul
17.05011854,19.70131463,6.688363573,7.702570973,18-Jul
13.30020636,22.38951473,6.279133178,8.436043726,25-Jul
17.83522104,31.31621393,14.4257694,18.77297268,01-Aug
23.86617406,27.17864734,7.671161657,9.58426035,08-Aug
21.92719564,28.90524993,8.908053464,13.02531119,15-Aug
21.51946671,28.51041028,7.319266509,11.55106664,22-Aug
18.87490372,27.79185948,6.799065877,13.90838233,29-Aug
21.78860224,25.0773502,7.696420421,11.06565019,05-Sep
16.14183308,21.67198806,6.402939567,9.772882935,12-Sep
14.18995744,22.07067389,5.788798688,10.52643097,19-Sep
13.65790344,22.26464064,6.970146534,8.659190426,26-Sep
