Male's Resignation Annualized Weekly ratio for 2020,Male's Resignation Annualized Weekly ratio for 2019,Male's Resignation Annualized Weekly ratio for 2018,Male's Resignation Annualized Weekly ratio for 2017,Time
1.00087781,1.744841865,0.805511558,1.075890994,04-Jan
16.03964094,15.27354745,5.548553711,7.564538454,11-Jan
17.09471642,14.07108628,5.890403544,7.966705501,18-Jan
15.2204774,14.28250514,4.702754095,7.841099994,25-Jan
17.21869415,17.75119328,11.47134293,13.14486264,01-Feb
12.17948343,13.04850904,4.98972726,7.349025242,08-Feb
12.02949393,13.64579003,5.776078274,7.988831667,15-Feb
14.37826001,12.99330429,5.189721134,7.756376887,22-Feb
14.08993879,17.0708717,11.02807717,12.60456851,29-Feb
14.93803347,15.41876611,6.259192173,9.021693436,07-Mar
13.9697144,14.44934003,6.297494312,8.603527873,14-Mar
13.21078178,13.72146294,5.46837244,7.723915097,21-Mar
9.579112999,14.36634029,5.686595771,7.888375815,28-Mar
11.72333498,20.0199113,9.173014397,9.856686943,04-Apr
7.319451071,14.1343674,6.375390103,7.93033981,11-Apr
7.384874468,14.24598098,5.833246895,8.292549756,18-Apr
7.372473646,14.08117267,5.550073906,8.794750317,25-Apr
9.036198262,21.83709321,11.63159207,15.15762262,02-May
8.547521736,16.93391,5.704947715,9.628539267,09-May
12.48032247,16.7445863,6.134236208,9.923499157,16-May
11.89491296,17.07532225,5.202720507,8.518766623,23-May
13.15166337,18.01373226,9.396049908,11.51562097,30-May
18.43073383,17.62335453,6.637970009,9.11962516,06-Jun
15.72306562,16.28909054,5.721353396,8.032033687,13-Jun
11.98649745,14.89418698,5.240565126,8.427434435,20-Jun
14.67557792,16.01149299,6.122024069,8.227955696,27-Jun
16.1000777,20.4123442,8.547643035,8.810550197,04-Jul
14.58495511,15.53709025,6.504298536,8.704080396,11-Jul
14.7130964,15.27649496,6.581457819,9.033734656,18-Jul
12.03921093,15.84011911,7.326433482,8.402948873,25-Jul
17.00652914,23.25024561,13.0909863,17.05438819,01-Aug
21.43676733,19.80152731,7.435220584,10.92324519,08-Aug
19.64632822,21.01029372,9.040932246,12.10332961,15-Aug
18.73383753,21.02831424,6.510909236,11.78506399,22-Aug
17.09040022,20.06155343,6.740821276,13.55956301,29-Aug
19.86154213,18.54684215,7.042549052,12.05825375,05-Sep
14.84965262,15.7239067,6.345647092,9.814745388,12-Sep
13.75057467,15.30135772,6.222347557,10.54354669,19-Sep
13.85969655,15.12860918,6.318203113,9.100226249,26-Sep
