Resignation Change Percentage for Female,Resignation Change Percentage for Male,Time
-51.23501675,-42.63790721,04-Jan
-9.563523779,5.015818986,11-Jan
-6.677549583,21.4882496,18-Jan
-2.639875585,6.567281102,25-Jan
-35.80476608,-2.999793452,01-Feb
-28.21529644,-6.659961011,08-Feb
-41.24690717,-11.84465025,15-Feb
-5.932521985,10.65899557,22-Feb
-46.15327621,-17.4621013,01-Mar
-26.67357839,-3.117841179,08-Mar
-30.67840957,-3.319360117,15-Mar
-29.43832876,-3.721768995,22-Mar
-55.82425246,-33.32252467,29-Mar
-57.51039645,-41.44162377,05-Apr
-60.81356841,-48.21521996,12-Apr
-58.05862775,-48.16169922,19-Apr
-62.8299339,-47.64304212,26-Apr
-68.64747883,-58.61995836,03-May
-55.32523108,-49.5242284,10-May
-46.17181739,-25.46652244,17-May
-51.8363638,-30.33857409,24-May
-51.78757042,-26.99090238,31-May
-23.12448623,4.581303182,07-Jun
-37.27327673,-3.474871242,14-Jun
-43.250271,-19.5223112,21-Jun
-42.6608634,-8.343475997,28-Jun
-42.89335248,-21.1257779,05-Jul
-34.27211236,-6.128143233,12-Jul
-13.45695015,-3.688009314,19-Jul
-40.59627233,-23.99545202,26-Jul
-43.04796523,-26.85441078,02-Aug
-12.18777829,8.258150979,09-Aug
-24.14113112,-6.491891638,16-Aug
-24.5206698,-10.91136779,23-Aug
-32.08477564,-14.81018519,30-Aug
-13.11441571,7.088538186,06-Sep
-25.51752505,-5.560030942,13-Sep
-35.70673231,-10.13493754,20-Sep
-38.65652872,-8.387503541,27-Sep
