Female's External Hires Annualized Weekly ratio for 2020,Female's External Hires Annualized Weekly ratio for 2019,Female's External Hires Annualized Weekly ratio for 2018,Female's External Hires Annualized Weekly ratio for 2017,Time
16.72168289,34.1312466,18.22881079,25.76514083,04-Jan
29.96606948,36.21656453,23.62217562,21.39815978,11-Jan
17.08531052,26.26406808,13.75997865,14.48527158,18-Jan
16.90285693,29.82991874,15.1026154,15.36341057,25-Jan
18.0775469,31.78446242,24.57991287,28.16047136,01-Feb
19.7130136,31.4737406,18.40326366,20.0160901,08-Feb
15.89006534,28.90091442,11.32570286,17.56930693,15-Feb
16.85864067,35.23878239,14.70797299,19.92632698,22-Feb
12.87585136,32.56571423,25.22853001,30.29686488,29-Feb
29.06483082,32.88310121,17.53223708,19.81123352,07-Mar
19.53716827,26.99291105,13.64980775,18.35723791,14-Mar
19.51469959,29.1652763,16.94649719,23.7225109,21-Mar
13.19361229,27.20982735,12.3416809,20.26941451,28-Mar
22.16973898,34.22772775,20.2584496,21.26136524,04-Apr
12.30867347,26.86945269,13.8048698,17.68229806,11-Apr
12.20904215,33.24428614,16.55296124,21.29318589,18-Apr
8.135019233,28.72613384,16.66115508,18.00620227,25-Apr
9.804210578,44.59439128,31.9243041,26.80346736,02-May
12.07296849,33.90145561,17.00854387,22.15163144,09-May
13.10548316,42.03386132,24.86617114,31.60679051,16-May
18.84381987,40.00943619,25.1275678,27.47047856,23-May
25.84112494,48.34103508,31.48874153,32.6817627,30-May
35.96175796,43.31926102,25.28645265,30.4771131,06-Jun
37.21243435,38.02045815,21.25366361,26.04890046,13-Jun
36.54354125,36.17655656,17.80653604,23.41084242,20-Jun
38.4370365,38.97561107,20.09355298,24.87111389,27-Jun
32.27087521,30.09264668,18.13848032,19.09022244,04-Jul
37.48933105,44.15305245,27.32280041,28.63104736,11-Jul
32.89609504,33.49226654,18.82649989,20.12228626,18-Jul
34.21011448,32.59532155,17.60858531,21.24048946,25-Jul
36.11588009,39.51498562,30.2597252,33.27654143,01-Aug
36.73611361,36.95088936,22.16310643,23.78503742,08-Aug
30.77200079,32.86444783,17.56743993,22.3552144,15-Aug
36.66560741,39.27111319,17.9580204,26.29965108,22-Aug
29.35106957,38.64624897,24.27066774,26.47576989,29-Aug
41.21762562,37.25888547,22.15114419,22.76715569,05-Sep
29.79362716,34.96413062,16.74553847,24.80632923,12-Sep
34.36992875,34.27713315,21.71355536,26.29424512,19-Sep
28.00018921,33.13605335,16.12303581,23.20720636,26-Sep
