Male's External Hires Annualized Weekly ratio for 2020,Male's External Hires Annualized Weekly ratio for 2019,Male's External Hires Annualized Weekly ratio for 2018,Male's External Hires Annualized Weekly ratio for 2017,Time
17.78503099,25.68212016,19.02158437,26.16915191,04-Jan
27.86236996,26.79887445,20.81191852,17.71560047,11-Jan
19.80786841,20.80842533,16.44993612,13.55708431,18-Jan
17.21992498,20.77618667,15.03475245,14.58937198,25-Jan
19.04303517,25.89648134,21.66505299,27.13610992,01-Feb
16.72154157,23.0043256,15.78732931,17.85071777,08-Feb
15.43490104,23.13209138,12.24065753,18.49433476,15-Feb
15.64149897,27.04617507,15.46866443,20.7081671,22-Feb
14.75733605,28.69674056,21.47225011,27.07053389,29-Feb
26.43687437,25.46171276,16.84958236,21.08412092,07-Mar
21.72648595,23.48236986,15.98064016,18.52493925,14-Mar
18.54789163,24.5503718,17.4494351,20.21654294,21-Mar
12.36633928,23.87078264,14.37124699,18.85797178,28-Mar
20.94910184,28.27789687,19.49091669,19.90029326,04-Apr
12.62505602,25.44104952,15.82721909,17.835758,11-Apr
11.04821063,25.45240395,17.76822091,20.87947919,18-Apr
9.328243574,24.52697208,17.08204254,18.04371324,25-Apr
9.341636696,31.54803567,28.14831562,23.73549986,02-May
11.09605184,25.39049381,16.50901342,22.17244173,09-May
11.35145862,34.97006235,24.4371091,30.85855702,16-May
17.26638081,34.36111554,29.61763024,29.03563903,23-May
18.98362331,38.23931927,31.22157863,32.13291554,30-May
29.45474187,37.70411245,28.81451679,33.72317146,06-Jun
26.76613204,32.22044708,21.65677517,25.05001481,13-Jun
30.73246827,29.91344313,20.69805369,24.09426052,20-Jun
31.50188076,28.58688055,19.42968199,25.68955336,27-Jun
29.43132455,26.40760429,20.84625543,18.38956378,04-Jul
31.49679674,32.0412145,27.04857877,24.95210275,11-Jul
31.56730871,26.43845427,18.9708527,20.59964974,18-Jul
29.25413413,25.19132019,18.61151761,20.28760148,25-Jul
31.05621447,31.99102178,29.30360005,30.98160268,01-Aug
30.35026552,29.39120623,20.36737807,22.63964095,08-Aug
28.3771074,28.33087663,18.78164694,23.89587163,15-Aug
32.1830697,28.54673986,18.68206933,25.17007044,22-Aug
26.31545746,30.50580625,23.82673663,23.07178584,29-Aug
35.97630677,27.57076033,19.41114498,22.09335813,05-Sep
31.23820769,28.70658398,17.9210848,23.3740668,12-Sep
30.26238531,26.53113767,19.84552271,25.06379883,19-Sep
28.66567492,25.49436182,16.88867333,21.93501733,26-Sep
