External Hires Change Percentage for Female,External Hires Change Percentage for Male,Time
-51.00769953,-30.74936618,04-Jan
-17.25866362,3.968433489,11-Jan
-34.94796591,-4.808422093,18-Jan
-43.33589346,-17.11700878,25-Jan
-43.12457873,-26.46477752,01-Feb
-37.3667914,-27.31131587,08-Feb
-45.01881459,-33.27494353,15-Feb
-52.15884454,-42.16742692,22-Feb
-60.46194084,-48.57487032,01-Mar
-11.61164928,3.829913624,08-Mar
-27.62111416,-7.477456143,15-Mar
-33.08926893,-24.44965078,22-Mar
-51.51159131,-48.19466348,29-Mar
-35.22871532,-25.9170442,05-Apr
-54.19082922,-50.37525473,12-Apr
-63.27476519,-56.5926635,19-Apr
-71.68077237,-61.96740656,26-Apr
-78.01470029,-70.38916529,03-May
-64.38805275,-56.29840081,10-May
-68.82160538,-67.53949562,17-May
-52.90156108,-49.7502321,24-May
-46.54412159,-50.35574986,31-May
-16.98436883,-21.87923291,07-Jun
-2.12523426,-16.92811719,14-Jun
1.014426817,2.737983523,21-Jun
-1.381824578,10.19698602,28-Jun
7.238407958,11.45018769,05-Jul
-15.09232325,-1.699117126,12-Jul
-1.780027352,19.39922202,19-Jul
4.954063505,16.12783256,26-Jul
-8.602066991,-2.922092697,02-Aug
-0.5812465,3.263082462,09-Aug
-6.366901558,0.16318157,16-Aug
-6.634662402,12.73816153,23-Aug
-24.05195756,-13.73623354,30-Aug
10.6249559,30.48717677,06-Sep
-14.78802236,8.818965403,13-Sep
0.27072158,14.0636549,20-Sep
-15.49932361,12.43927235,27-Sep
