55-76's Resignation Annualized Weekly ratio for 2020,55-76's Resignation Annualized Weekly ratio for 2019,55-76's Resignation Annualized Weekly ratio for 2018,55-76's Resignation Annualized Weekly ratio for 2017,Time
0.352600428,0.5587902,0.809254552,0.278320443,04-Jan
5.699652241,9.393063584,3.304284677,2.493658586,11-Jan
5.686745122,9.490347641,1.954735177,2.098545899,18-Jan
5.174850228,7.809254474,1.549102401,1.901087957,25-Jan
11.23955459,10.99033816,4.31283613,5.055780617,01-Feb
4.217071028,8.760005453,2.426221859,2.334048177,08-Feb
4.853250725,9.661572583,1.683654307,2.461998505,15-Feb
7.093074197,9.595866396,1.547018497,2.525529265,22-Feb
5.017135851,11.83277742,4.430330726,4.717403191,29-Feb
5.61943241,9.658847785,2.685395579,3.23346889,07-Mar
4.503522634,10.05167657,2.682867056,2.324599528,14-Mar
6.042211337,9.483896003,2.478774527,2.978681012,21-Mar
3.625482962,9.973748196,1.739108064,2.649533349,28-Mar
5.343380716,14.68769716,3.340828783,3.798251913,04-Apr
2.594505753,9.32875623,2.136675313,3.215115991,11-Apr
3.770885394,10.47240054,3.533469236,2.890744676,18-Apr
6.066250355,9.659255819,2.065475046,2.438452521,25-Apr
4.303332459,15.25059527,6.589861751,4.685552058,02-May
6.771790264,11.57434289,1.863990168,3.206313972,09-May
5.688829315,12.26652229,2.462184229,3.780886068,16-May
3.993423061,10.49683202,2.059826985,3.198307357,23-May
5.031547967,11.62016794,2.667487432,4.039507269,30-May
5.699786867,12.78824176,2.396712202,2.876742642,06-Jun
5.500197707,10.42626617,1.463177551,2.74514137,13-Jun
4.315437966,9.919075145,1.727552676,2.74611908,20-Jun
4.517364607,11.6050214,1.72394007,1.975635463,27-Jun
6.735085326,14.32382278,2.791018645,3.750015279,04-Jul
6.709881937,10.24313938,1.859348462,3.686816209,11-Jul
5.257367153,9.980517351,2.326770647,2.922383355,18-Jul
4.584992768,9.476036561,2.790269828,2.792355195,25-Jul
8.084462103,14.4553829,5.413116397,6.914808476,01-Aug
5.8126537,11.65662391,2.872743624,3.071395171,08-Aug
6.684928256,11.44366197,2.802407196,3.323663897,15-Aug
5.064164342,10.44276561,2.065475046,3.127800351,22-Aug
5.53286787,11.32453937,2.595773548,3.887969602,29-Aug
6.781732091,10.74730247,3.197417471,3.306229749,05-Sep
4.392355612,8.705033295,1.397545337,2.79399194,12-Sep
4.74255866,8.400412222,1.993865031,3.800336184,19-Sep
4.302732007,10.40616662,2.655364347,3.097269832,26-Sep
